abnormal	nienormalny
abridge	ograniczać / skracać
condemned	skazany / potępiony
conscience	sumienie
custodian	opiekun / strażnik
disposition	usposobienie / nastawienie
emotional	emocjonalny
hereditary	dziedziczny
immature	niedojrzały
inadmissible	niedopuszczalny
individuality	indywidualność
inequality	nierówność
penetrate	przenikać
perfection	doskonałość
reconstruct	odtworzyć / zrekonstruować
repression	represja / tłumienie uczuć
segregated	segregowany / odseparowany
specimen	okaz / egzemplarz
tension	napięcie
vigil	czuwanie
