aberration	odchylenie od normy
disposition	dyspozycja / usposobienie
geotropism	geotropizm
inadmissible	niedopuszczalny
inevitability	nieuchronność
irreversible	nieodwracalny
liquidate	zlikwidować
non-survival	brak zdolności przetrwania
oblong	podłużny / wydłużony
penetrated	przeniknięty
phylogenic	filogenetyczny
postponement	odroczenie
reassignment	przypisanie na nowo
recalibration	ponowna kalibracja
repudiation	odrzucenie / wyparcie się
segregated	odseparowany
specimen	egzemplarz / okaz
stability	równowaga / trwałość
submit	poddawać się / przedstawiać
televocal	zdalnie sterowany głosowo
